,key,ssim,emotion,age,race,gender,real_emotion,anon_emotion,real_age,anon_age,real_race,anon_race,real_gender,anon_gender
0,avatars___20210810--1306--FXN596,0.7702478658596443,0,0.0003420023210374268,0,1,fear,neutral,22.999657997678963,23.0,white,asian,Man,Man
1,avatars___20210817--0900--NRE683,0.79458325890451,0,26.99939275382234,1,1,angry,neutral,49.99939275382234,23.0,white,white,Man,Man
2,avatars___20210818--1332--CDR970,0.8244372656415435,0,3.0,1,0,angry,neutral,23.0,20.0,white,white,Man,Woman
3,avatars___20210819--0903--DOT682,0.7961996865514723,0,1.0086780667663504,0,0,happy,neutral,29.011125710782125,28.002447644015774,black,white,Man,Woman
4,avatars___20210827--0906--KDA058,0.7977898343340061,0,3.000000191716893,1,0,sad,neutral,23.000000191716893,20.0,white,white,Man,Woman
5,avatars___20210831--0815--XJT672,0.6894197559765467,0,3.5319280868861824e-05,0,0,sad,happy,22.99996468071913,23.0,asian,white,Woman,Man
6,avatars___20210901--0833--LAS440,0.7471718473977377,0,6.999866641862614,0,0,happy,fear,28.999866773723625,22.00000013186101,white,asian,Woman,Man
7,avatars___20210902--0817--IFG774,0.7539475207607227,0,6.155532777338159,0,1,angry,surprise,29.15553277733816,23.0,white,asian,Man,Man
8,avatars___20210922--0839--UHV563,0.7651130309798481,0,3.6890532237409097,0,1,happy,fear,23.00000000013299,26.6890532238739,white,black,Man,Man
9,avatars___20210928--0843--PAK800,0.7983107527539879,0,32.68138768908172,1,1,sad,neutral,55.68138771580979,23.000000026728074,white,white,Man,Man
10,avatars___20210929--0827--MCR809,0.8536407891010293,0,6.9999964801845636,1,1,happy,angry,29.999996480184564,23.0,white,white,Man,Man
11,avatars___20210929--1334--SKB942,0.7756066609114557,0,31.000392412044203,1,1,angry,neutral,53.0005015546244,22.000109142580197,latino hispanic,latino hispanic,Man,Man
12,avatars___20211001--0855--KJJ701,0.8064359258477414,1,6.404797019499142e-05,1,1,happy,happy,23.0,22.999935952029805,white,white,Man,Man
13,avatars___20211001--1304--XMY093,0.8366367618578212,0,0.0,1,1,angry,happy,23.0,23.0,white,white,Man,Man
14,avatars___20211006--0836--EID363,0.8359161197305228,1,2.9325228929519653,0,1,neutral,neutral,29.067477107048035,32.0,white,middle eastern,Man,Man
15,avatars___20220114--0820--JZE802,0.8208580723631969,0,2.999783273924905,0,1,neutral,happy,29.0000000000433,31.999783273968205,indian,latino hispanic,Man,Man
16,avatars___20220202--0844--THN461,0.8240521723404104,0,10.473036475443038,0,0,happy,neutral,39.47308444878661,29.00004797334357,black,white,Man,Woman
17,avatars___20220214--0846--HOS732,0.7986249064311124,0,6.000000012899928,1,0,happy,sad,23.0,29.00000001289993,white,white,Man,Woman
