,key,ssim,emotion,age,race,gender,real_emotion,anon_emotion,real_age,anon_age,real_race,anon_race,real_gender,anon_gender
0,avatars___20210810--1306--FXN596,0.6763848833872284,0,0.06106301536750891,1,0,fear,sad,22.999657997678963,22.938594982311454,white,white,Man,Woman
1,avatars___20210817--0900--NRE683,0.5523810541406446,0,22.008437935269676,1,1,angry,neutral,49.99939275382234,27.990954818552666,white,white,Man,Man
2,avatars___20210818--1332--CDR970,0.5824323486164305,0,0.0,1,1,angry,fear,23.0,23.0,white,white,Man,Man
3,avatars___20210819--0903--DOT682,0.4951521557005907,0,2.9888742892178755,0,1,happy,neutral,29.011125710782125,32.0,black,white,Man,Man
4,avatars___20210827--0906--KDA058,0.6651566032559854,1,7.275279685359237e-07,1,1,sad,sad,23.000000191716893,23.00000091924486,white,white,Man,Man
5,avatars___20210831--0815--XJT672,0.47527541312198157,1,3.531928087596725e-05,0,1,sad,sad,22.99996468071913,23.000000000000007,asian,white,Woman,Woman
6,avatars___20210901--0833--LAS440,0.7061016892955768,0,0.00013322627637535334,1,1,happy,sad,28.999866773723625,29.0,white,white,Woman,Woman
7,avatars___20210902--0817--IFG774,0.5853669046970238,1,2.844467222661841,1,1,angry,angry,29.15553277733816,32.0,white,white,Man,Man
8,avatars___20210922--0839--UHV563,0.6291888650990437,0,2.4427838383189737e-05,1,1,happy,sad,23.00000000013299,22.999975572294606,white,white,Man,Man
9,avatars___20210928--0843--PAK800,0.525929165981381,1,16.208303267023183,1,1,sad,sad,55.68138771580979,39.47308444878661,white,white,Man,Man
10,avatars___20210929--0827--MCR809,0.6058990184522774,1,3.6171374802052014e-06,1,1,happy,happy,29.999996480184564,30.000000097322044,white,white,Man,Man
11,avatars___20210929--1334--SKB942,0.6857001995560945,1,1.078132353961955,1,1,angry,angry,53.0005015546244,54.078633908586355,latino hispanic,latino hispanic,Man,Man
12,avatars___20211001--0855--KJJ701,0.6744543181976691,1,1.2434497875801753e-13,1,1,happy,happy,23.0,23.000000000000124,white,white,Man,Man
13,avatars___20211001--1304--XMY093,0.5764529668594699,0,8.029132914089132e-13,1,1,angry,happy,23.0,23.000000000000803,white,white,Man,Man
14,avatars___20211006--0836--EID363,0.6068783439325719,0,0.06747710704803467,1,0,neutral,fear,29.067477107048035,29.0,white,white,Man,Woman
15,avatars___20220114--0820--JZE802,0.5899582251419968,0,6.0000000000433005,1,1,neutral,happy,29.0000000000433,23.0,indian,indian,Man,Man
16,avatars___20220202--0844--THN461,0.5701861721606616,1,7.4730843645951595,1,1,happy,happy,39.47308444878661,32.00000008419145,black,black,Man,Man
17,avatars___20220214--0846--HOS732,0.552808010322589,0,0.0,1,1,happy,angry,23.0,23.0,white,white,Man,Man
18,avatars___20220215--0801--ONK705,0.5406751219528466,0,0.00020579205464343886,1,1,sad,happy,54.00000298253674,54.000208774591385,white,white,Man,Man
19,avatars___20220216--1324--ZSE894,0.5699242334339407,0,6.002211320123038,1,1,happy,sad,29.002211001704524,22.999999681581485,white,white,Man,Man
20,avatars___20220218--0839--XIT043,0.7117959215384141,1,11.99999999107845,1,1,happy,happy,32.0,20.00000000892155,black,black,Man,Man
21,avatars___20220303--1247--TAY503,0.6508778225574083,0,0.0,1,1,neutral,happy,20.0,20.0,white,white,Woman,Woman
22,avatars___20220304--1320--NNQ107,0.5396341694939841,1,7.382894295915321e-11,1,1,neutral,neutral,29.000000000090527,29.000000000016698,black,black,Man,Man
23,avatars___20220307--1342--RGA575,0.5531351600796053,0,9.479350637775497e-11,1,1,angry,neutral,23.000000000094794,23.0,black,black,Man,Man
24,avatars___20220310--1128--ZSC414,0.5703096441372466,1,22.873768037571168,1,1,happy,happy,53.99999482253613,31.126226784964963,white,white,Woman,Woman
25,avatars___20220310--1336--XRZ540,0.5436862286192709,1,5.36456354893744e-07,1,0,neutral,neutral,20.000000536456355,20.0,latino hispanic,latino hispanic,Man,Woman
26,avatars___20220311--1115--NFU480,0.3893649560572805,1,1.142308914557507,0,1,neutral,neutral,19.857691085472887,21.000000000030393,asian,black,Man,Man
27,avatars___20220314--1116--KMD200,0.6898198199584338,1,3.881019949858455e-10,1,1,angry,angry,28.000000000397936,28.000000000009834,white,white,Woman,Woman
28,avatars___20220315--0818--HDZ165,0.5123761327107247,0,0.0,1,0,angry,sad,20.0,20.0,white,white,Woman,Man
29,avatars___20220315--1053--FWC239,0.6299729649179333,0,12.00552516942846,1,1,sad,fear,32.00552516942846,20.0,white,white,Man,Man
30,avatars___20220401--0841--PHT202,0.6133617635788652,1,2.079150341316449e-05,0,1,neutral,neutral,22.00001647321802,21.99999568171461,white,latino hispanic,Woman,Woman
31,avatars___20220406--1314--PGO261,0.7252908714823829,0,0.0,1,1,neutral,disgust,23.0,23.0,white,white,Woman,Woman
32,avatars___20220407--0816--OYQ923,0.5128854452677774,1,0.0,1,1,neutral,neutral,23.0,23.0,latino hispanic,latino hispanic,Man,Man
33,avatars___20220412--1326--BGR645,0.46169802007491456,0,9.000000003482597,1,1,neutral,happy,29.000000003482597,20.0,black,black,Woman,Woman
34,avatars___20220426--1126--SCG995,0.6821165682882351,0,0.0,1,0,neutral,sad,20.0,20.0,white,white,Woman,Man
35,avatars___20220510--0837--WFU321,0.6662608704334845,1,1.90507070714375,0,1,angry,angry,30.093018651008606,31.998089358152356,black,latino hispanic,Man,Man
36,avatars___20220510--1051--OZZ515,0.6148245094463751,0,1.099706992135907e-08,1,1,neutral,angry,23.000000011090346,23.000000000093276,black,black,Man,Man
37,avatars___20220610--0901--TRP396,0.6357924709430092,1,2.9999713618853967,1,1,neutral,neutral,23.000000000000004,20.000028638114607,latino hispanic,latino hispanic,Woman,Woman
